brand,product_name,shade_name,finish,color_family,source,lipstick_id,image_path,image_source_url,image_source_page,image_source_name,final_cluster,L_star,a_star,b_star,chroma,pixel_pct
Surratt,Lipslique,Rubis,glossy,red,Beauty Unhyped red lipstick comparison,L0001,lipstick_images/swatches/L0001.jpg,https://frendsbeauty.com/cdn/shop/files/Surratt-Lipslique-Rubis-Blue-Red_700x700.jpg?v=1716937109,https://frendsbeauty.com/products/surratt-lipslique?srsltid=AfmBOooH5tMc3d4XUNvAubZOPYewSO1dC2TSoMT8ueCmzmlNTxPE65EV,Frends Beauty,2,43.62509815797931,63.23708077824537,35.23473389356852,72.39070974859216,13.478775510204082
NARS,Velvet Matte Lipstick,Dragon Girl,soft matte,red,Beauty Unhyped red lipstick comparison,L0002,lipstick_images/swatches/L0002.jpg,https://i.ebayimg.com/images/g/Ta8AAOSwf4RjKjSB/s-l1200.jpg,https://www.ebay.com/itm/115534198127,eBay,2,53.083518131914126,68.32436248180738,27.969680236935403,73.82764740327178,24.987774754554685
Bite Beauty,,Hot Tomato,soft matte,red,Beauty Unhyped red lipstick comparison,L0003,lipstick_images/swatches/L0003.jpg,https://www.temptalia.com/wp-content/uploads/2021/07/bite-beauty_hot-tomato_004_swatch.jpg,https://www.temptalia.com/product/bite-beauty-power-move-hydrating-soft-matte-lipstick/hot-tomato/,Temptalia,1,51.49088879908999,68.15302435543126,25.119836738333905,72.63498417809805,9.428842105263158
Chanel,Rouge Allure Ink Matte Liquid Lip,Luxuriant,soft matte,red,Beauty Unhyped red lipstick comparison,L0004,lipstick_images/swatches/L0004.jpg,https://www.temptalia.com/wp-content/uploads/2016/09/chanel_150luxuriant003.jpg,https://www.temptalia.com/product/chanel-rouge-allure-ink-matte-liquid-lip-colour/luxuriant-150/,Temptalia,1,43.21140757331178,64.63514925711951,34.91601920426143,73.46312623733398,13.904842105263157
Smashbox,Legendary Prime Plush Lipstick,Be Seen,cream,red,Beauty Unhyped red lipstick comparison,L0005,lipstick_images/swatches/L0005.jpg,https://media.ulta.com/i/ulta/2606441_alt02?w=800&h=800&fmt=auto,https://www.ulta.com/p/be-seen-be-legendary-prime-plush-lipstick-pimprod2038070?sku=2606441,Ulta Beauty,3,35.20942886146434,54.90764032698138,30.47573841961946,62.798245186455816,14.31234375
Fenty Beauty,Icon Lipstick,Kissin’ Kutie,cream semi-matte,red,Beauty Unhyped red lipstick comparison,L0006,lipstick_images/swatches/L0006.jpg,https://www.temptalia.com/wp-content/uploads/2023/02/fenty-beauty_kissin-kutie_003_swatch.jpg,https://www.temptalia.com/product/fenty-beauty-icon-lipstick/kissin-kutie/,Temptalia,1,50.57101543529321,70.10913546474973,37.70901008719261,79.60691124123974,14.762315789473684
Fenty Beauty,Icon Lipstick,Freak-went Flyer,semi-matte,red,Beauty Unhyped red lipstick comparison,L0007,lipstick_images/swatches/L0007.jpg,https://www.temptalia.com/wp-content/uploads/2023/02/fenty-beauty_freakwent-flyr_003_swatch-350x350.jpg,https://www.temptalia.com/makeup-dupe-list/fenty-beauty-icon-lipstick/freak-went-flyr/,Temptalia,2,48.424026984466295,68.26873118960626,31.041462062411284,74.99461330796258,20.600816326530612
Peripera,Ink The Velvet Lip Tint,32 Fuchsia Red,soft matte,red,Beauty Unhyped red lipstick comparison,L0008,lipstick_images/swatches/L0008.jpg,https://www.storeonwafi.com/cdn/shop/files/FC235F67-074D-4029-8AD9-A4FDD6C1643E.jpg?v=1720085052&width=1024,https://www.storeonwafi.com/products/peripera-ink-the-velvet-lip-tint-high-pigment-color-longwear-weightless-not-animal-tested-gluten-free-paraben-free-032-fuchsia-red?srsltid=AfmBOorcXPYBkhMjDIcn8N34zQmqFs_IAawRFsRnPelYX8BZ9J4_dDkZ,Storeonwafi,0,35.46418174474115,54.190297278481125,27.442836753874275,60.74288113211252,48.07442980810463
Shiseido,Modern Matte Lipstick,516 Exotic Red,matte,red,Beauty Unhyped red lipstick comparison,L0009,lipstick_images/swatches/L0009.jpg,https://lyko.com/globalassets/product-images/shiseido-modernmatte-powder-lipstick-516-exotic-red-1624-408-0016_1.jpg?ref=59D61CD18A&w=960&h=960&mode=max&quality=75&format=jpg,https://lyko.com/en/shiseido/shiseido-modernmatte-powder-lipstick16,Lyko,2,42.02814447599382,52.726103099902275,31.042720835852975,61.185721087474526,9.846513605442176
Gucci,Transfer-Proof Matte Liquid Lipstick,Nellie Cherry,matte,red,Beauty Unhyped red lipstick comparison,L0010,lipstick_images/swatches/L0010.jpg,https://media.johnlewiscontent.com/i/JohnLewis/241152459alt1?fmt=auto&$background-off-white$&$rsp-pdp-port-640$,https://www.johnlewis.com/gucci-rouge-a-levres-liquide-matte-lipstick/521-nellie-cherry/p6262686,John Lewis,1,33.0077018927515,25.123904708026657,19.27469985542595,31.665827674241537,14.54938452520516
